junction_id,latitude,longitude,governorate,ways_count,tier,junction_idx
J_0758,30.0826149,31.1932503,Giza,3,2,407
J_0759,30.0738551,31.1600437,Giza,3,2,408
J_0760,30.0223894,31.1676605,Giza,3,2,409
J_0761,30.087251,31.2201014,Giza,3,2,410
J_0762,30.087495,31.2246808,Giza,3,2,411
J_0763,29.8640764,31.2281053,Giza,3,2,412
J_0764,30.1796813,31.0993671,Giza,3,2,413
J_0765,30.1778028,31.0856724,Giza,3,2,414
J_0766,30.030951,31.167419,Giza,3,2,415
J_0767,30.029485,31.1770647,Giza,3,2,416
J_0768,30.0302602,31.2163668,Giza,3,2,417
J_0769,30.0166773,31.2038698,Giza,3,2,418
J_0770,30.0302449,31.2124334,Giza,3,2,419
J_0771,30.0186785,31.2039295,Giza,3,2,420
J_0772,30.0136611,31.2089395,Giza,3,2,421
J_0773,30.0521917,31.218614,Giza,3,2,422
J_0774,29.9390972,31.1946974,Giza,3,2,423
J_0775,29.9369591,31.1931567,Giza,3,2,424
J_0776,29.9336621,31.1874098,Giza,3,2,425
J_0777,29.9737807,31.0036854,Giza,3,2,426
J_0778,30.050657,31.0469295,Giza,3,2,427
J_0779,30.0349987,31.1892203,Giza,3,2,428
J_0780,30.0303272,31.1867758,Giza,3,2,429
J_0781,30.0585648,31.2009488,Giza,3,2,430
J_0782,30.0526566,31.1953046,Giza,3,2,431
J_0783,29.9839926,31.1455219,Giza,3,2,432
J_0784,29.9838869,31.1457524,Giza,3,2,433
J_0785,29.8956606,31.2276093,Giza,3,2,434
J_0786,30.0577192,31.2255906,Giza,3,2,435
J_0787,30.0623947,31.2144015,Giza,3,2,436
J_0788,30.0188659,31.2227519,Giza,3,2,437
J_0789,30.0396079,31.220251,Giza,3,2,438
J_0790,30.0358649,31.2116266,Giza,3,2,439
J_0791,30.0231401,31.0765645,Giza,3,2,440
J_0792,29.9879102,31.1489467,Giza,3,2,441
J_0793,29.9880008,31.1490202,Giza,3,2,442
J_0794,30.0097103,31.2249959,Giza,3,2,443
J_0795,30.0134576,31.2270608,Giza,3,2,444
J_0796,30.0279038,31.2242746,Giza,3,2,445
J_0797,30.0336739,31.2269403,Giza,3,2,446
J_0798,30.0608705,31.2037653,Giza,3,2,447
J_0799,30.2187645,31.1895038,Giza,3,2,448
J_0800,30.013142,31.1637483,Giza,3,2,449
J_0801,29.9582984,31.0577609,Giza,3,2,450
J_0802,29.9581371,31.058269,Giza,3,2,451
J_0803,30.1060053,31.2031218,Giza,3,2,452
J_0804,30.1062686,31.2013033,Giza,3,2,453
J_0805,29.9809861,31.109522,Giza,3,2,454
J_0806,29.9781853,31.1116095,Giza,3,2,455
J_0807,29.9759833,31.0917673,Giza,3,2,456
J_0808,29.9783658,31.0993711,Giza,3,2,457
J_0809,30.0295191,31.1771897,Giza,3,2,458
J_0810,29.9852468,31.1352583,Giza,3,2,459
